Task Name                                               Steps  Description
SimpleCalendarAddOneEventInTwoWeeks                        34  In Simple Calendar Pro, create a calendar event in two weeks from today at 11h with the title 'Workshop on Campaign' and the description ...
SimpleCalendarAddOneEventRelativeDay                       34  In Simple Calendar Pro, create a calendar event for this Monday at 22h with the title 'Appointment for Budget Planning' and the descripti...
SimpleCalendarAddOneEventTomorrow                          34  In Simple Calendar Pro, create a calendar event for tomorrow at 14h with the title 'Appointment for Annual Report' and the description 'W...
SimpleCalendarAddRepeatingEvent                            34  In Simple Calendar Pro, create a recurring calendar event titled 'Review session for Campaign' starting on 2023-10-20 at 12h. The event r...
SimpleCalendarAnyEventsOnDate                              10  Do I have any events October 16 2023 in Simple Calendar Pro? Answer with the titles only. If there are multiples titles, format your answ...
SimpleCalendarDeleteEvents                                 14  In Simple Calendar Pro, delete all the calendar events on 2023-10-29
SimpleCalendarDeleteEventsOnRelativeDay                    12  In Simple Calendar Pro, delete all events scheduled for this Friday.
SimpleCalendarDeleteOneEvent                               12  In Simple Calendar Pro, delete the calendar event on 2023-10-27 at 21h with the title 'Meeting with Marketing'
SimpleCalendarEventOnDateAtTime                            10  What is on my schedule for October 19 2023 at 1:30pm in Simple Calendar Pro? Answer with the titles only. If there are multiples titles, ...
SimpleCalendarEventsInNextWeek                             10  What events do I have in the next week in Simple Calendar Pro? Assume the week starts from Monday. Answer with the titles only. If there ...
SimpleCalendarEventsInTimeRange                            10  Do I have any events between 5:20pm and 8pm October 18 2023 in Simple Calendar Pro? Answer with the titles only. If there are multiples t...
SimpleCalendarEventsOnDate                                 10  What events do I have October 21 2023 in Simple Calendar Pro? Answer with the titles only. If there are multiple titles, format your answ...
SimpleCalendarFirstEventAfterStartTime                     10  What is my first event after 11:00am October 16 2023 in Simple Calendar Pro? Answer with the titles only. If there are multiples titles, ...
SimpleCalendarLocationOfEvent                              10  What is the location of my Family reunion event in Simple Calendar Pro? Answer with the location only.
SimpleCalendarNextEvent                                    10  What is my next upcoming event in Simple Calendar Pro? Answer with the title only. If there are multiples titles, format your answer in a...
SimpleCalendarNextMeetingWithPerson                        10  When is my next meeting with Aaliyah in Simple Calendar Pro? Express your answer in the format <month name> <day> <year> <hour in 24-hour...
SimpleDrawProCreateDrawing                                 18  Create a new drawing in Simple Draw Pro. Name it dolor_sure_bear_2023_09_11.png. Save it in the Pictures folder within the sdk_gphone_x86...
SimpleSmsReply                                             12  Reply to +19819674575 with message: Don't forget to water the plants while I'm away. in Simple SMS Messenger
SimpleSmsReplyMostRecent                                   12  Reply to the most recent text message using Simple SMS Messenger with message: It's a bird, it's a plane.
SimpleSmsResend                                            12  Resend the message I just sent to Leo da Silva in Simple SMS Messenger
SimpleSmsSend                                              12  Send a text message using Simple SMS Messenger to +19477971452 with message: To be or not to be.
SimpleSmsSendClipboardContent                              12  Send a message to +15212459456 with the clipboard content in Simple SMS Messenger
SimpleSmsSendReceivedAddress                               18  Text the address of the event to Gabriel Garcia that Emilia dos Santos just sent me in Simple SMS Messenger
SportsTrackerActivitiesCountForWeek                        10  How many inline skating activities did I do this week in the OpenTracks app? Assume the week starts from Monday. Express your answer as a...
SportsTrackerActivitiesOnDate                              20  What activities did I do October 7 2023 in the OpenTracks app? Answer with the activity type only. If there are multiple types, format yo...
SportsTrackerActivityDuration                              12  How long was my kayaking activity October 8 2023 in the OpenTracks app? Express your answer in minutes as a single integer.
SportsTrackerLongestDistanceActivity                       10  What was the longest distance covered in a cycling activity in the OpenTracks app this week? Assume the week starts from Monday. Express ...
SportsTrackerTotalDistanceForCategoryOverInterval          22  What was the total distance covered for snow boarding activities in the OpenTracks app from October 3 2023 to October 13 2023? Express yo...
SportsTrackerTotalDurationForCategoryThisWeek              16  What was the total duration of skate boarding activities in the OpenTracks app this week? Assume the week starts from Monday. Express you...
SystemBluetoothTurnOff                                     10  Turn bluetooth off.
SystemBluetoothTurnOffVerify                               10  Turn bluetooth off.
SystemBluetoothTurnOn                                      10  Turn bluetooth on.
SystemBluetoothTurnOnVerify                                10  Turn bluetooth on.
SystemBrightnessMax                                        10  Turn brightness to the max value.
SystemBrightnessMaxVerify                                  10  Turn brightness to the max value.
SystemBrightnessMin                                        10  Turn brightness to the min value.
SystemBrightnessMinVerify                                  10  Turn brightness to the min value.
SystemCopyToClipboard                                      10  Copy the following text to the clipboard: Transaction ID: def456
SystemWifiTurnOff                                          10  Turn wifi off.
SystemWifiTurnOffVerify                                    10  Turn wifi off.
SystemWifiTurnOn                                           10  Turn wifi on.
SystemWifiTurnOnVerify                                     10  Turn wifi on.
TasksCompletedTasksForDate                                 10  Which tasks have I completed for October 17 2023 in Tasks app? Answer with the titles only. If there are multiples titles, format your an...
TasksDueNextWeek                                           12  How many tasks do I have due next week in Tasks app? Assume the week starts from Monday. Express your answer as a single integer.
TasksDueOnDate                                             10  What tasks do I have due October 15 2023 in Tasks app? Answer with the titles only. If there are multiples titles, format your answer in ...
TasksHighPriorityTasks                                     10  What are my high priority tasks in Tasks app? Answer with the titles only. If there are multiples titles, format your answer in a comma s...
TasksHighPriorityTasksDueOnDate                            10  Which tasks with high priority are due October 28 2023 in the Tasks app? Answer with the title only. If there are multiples titles, forma...
TasksIncompleteTasksOnDate                                 10  What incomplete tasks do I have still have to do by October 20 2023 in Tasks app? Answer with the titles only. If there are multiples tit...
TurnOffWifiAndTurnOnBluetooth                              20  Turn off WiFi, then enable bluetooth
TurnOnWifiAndOpenApp                                       20  Turn on Wifi, then open the clock app
VlcCreatePlaylist                                          28  Create a playlist titled "Mystery and Thrills Specials" with the following files in VLC (located in Internal Memory/VLCVideos), in order:...
VlcCreateTwoPlaylists                                      48  Create a playlist titled "Travel Guide Favorites" with the following files in VLC (located in Internal Memory/VLCVideos), in order: copy_...
====================================================================================================================================================================================

Total: 117 tasks
